Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings_Per_Week,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP00001,58,Male,HR,Education,9,Hybrid,52,1,1,High,Burnout,No,Decrease,5,Neutral,4,Weekly,Good,Africa
EMP00002,57,Male,Project Manager,Finance,31,Remote,54,14,1,High,Burnout,Yes,Decrease,5,Neutral,3,Daily,Average,Asia
EMP00003,24,Non-binary,Designer,Education,30,Remote,48,4,2,Medium,Anxiety,Yes,Increase,1,Unsatisfied,4,Weekly,Poor,South America
EMP00004,46,Male,HR,Retail,20,Onsite,58,4,1,High,,No,Decrease,3,Satisfied,2,Weekly,Poor,Asia
EMP00005,26,Male,Marketing,Manufacturing,26,Remote,59,2,2,Medium,Depression,No,No Change,3,Neutral,2,Daily,Poor,Oceania
EMP00006,60,Male,Data Scientist,IT,16,Remote,34,8,1,High,Anxiety,No,Decrease,5,Neutral,5,Weekly,Average,Africa
EMP00007,52,Male,HR,Retail,13,Hybrid,22,12,4,Low,,No,Increase,1,Unsatisfied,1,Weekly,Good,Africa
EMP00008,33,Prefer not to say,Sales,Consulting,15,Remote,41,6,5,High,Burnout,Yes,No Change,1,Satisfied,3,,Poor,Africa
EMP00009,40,Prefer not to say,HR,Manufacturing,30,Remote,40,14,1,Low,,Yes,Increase,2,Neutral,2,Daily,Good,Europe
EMP00010,56,Male,Designer,Manufacturing,27,Onsite,43,6,3,Medium,Burnout,No,No Change,5,Neutral,5,Daily,Poor,Africa
EMP00011,34,Male,Marketing,Education,25,Remote,29,5,5,Medium,Burnout,Yes,No Change,2,Satisfied,2,Weekly,Poor,South America
EMP00012,46,Non-binary,Software Engineer,Healthcare,32,Remote,58,4,1,Low,Anxiety,Yes,No Change,4,Unsatisfied,1,,Good,Oceania
EMP00013,42,Female,Sales,Consulting,16,Hybrid,45,2,1,Low,Anxiety,Yes,Increase,2,Satisfied,4,Daily,Good,Asia
EMP00014,26,Male,HR,Manufacturing,31,Remote,24,10,1,Medium,Burnout,No,No Change,2,Neutral,2,Weekly,Average,Europe
EMP00015,49,Female,Sales,IT,22,Onsite,46,2,5,Low,Burnout,Yes,Increase,4,Satisfied,4,Weekly,Average,Oceania
EMP00016,45,Non-binary,Project Manager,Retail,27,Onsite,48,0,5,Medium,Depression,No,No Change,2,Satisfied,5,,Good,Asia
EMP00017,59,Female,Marketing,Manufacturing,33,Onsite,21,8,3,Low,,No,Decrease,3,Satisfied,3,Weekly,Poor,South America
EMP00018,36,Male,Sales,IT,12,Remote,43,3,3,High,Anxiety,Yes,Decrease,5,Satisfied,4,Weekly,Poor,South America
EMP00019,42,Non-binary,Designer,Education,16,Hybrid,32,15,4,Low,Burnout,No,Decrease,1,Neutral,5,Weekly,Average,North America
EMP00020,28,Non-binary,Data Scientist,IT,17,Remote,22,14,5,High,Burnout,No,No Change,1,Satisfied,3,Weekly,Good,Oceania
